sentence|keep
we are not responsible for removing your personal information from the lists of any third-party services or other third party who has previously been provided your information in accordance with this notice|False
your california privacy rights|False
californias shine the light law (civil code section  1798|False
83) permits users of our website that are california residents to request certain information regarding our disclosure of personal information to third parties for their direct marketing purposes|False
to make such a request, please send an email to [email protected]|False
reviewing, changing or correcting information|False
you are solely responsible for helping us to maintain the accuracy and completeness of your personal and other information|False
we urge you to review your information regularly to ensure that it is correct and complete|False
if you believe that any of your information is incorrect, or if you have any questions regarding this privacy policy, please contact us|False
you may, of course, decline to share any or all of your personal information with us or ask us to delete your personal information from our systems at any time, in which case we may not be able to provide to you some of the features and functionality found on or through the website and the services|False
security|False
no data transmissions over the internet can be guaranteed to be 100% secure|False
consequently, we cannot ensure or warrant the security of any information you transmit to us and you understand that any information that you transfer to our organization is done at your own risk|False
if we learn of a security systems breach we may attempt to notify you electronically so that you can take appropriate protective steps|False
by using the service or providing personally identifiable information to us you agree that we can communicate with you electronically regarding security, privacy and administrative issues relating to your use of our services|False
we may post a notice on our webpage if a security breach occurs|False
we may also send an email to you at the email address you have provided to us in these circumstances|False
contact information|False
if you have any questions regarding this privacy policy, please contact: [email protected]|False
how we use the information you provide this website:|False
we will potentially use this information to send you news and information about the campaign|False
when you volunteer online we may ask you to give us contact information and geographic information|False
we may use this information to send you material about the campaign or to contact you regarding your volunteer status|False
in addition, the federal election commission (fec) and local law may require us to collect personal information from donors|True
information on children:|False
this website website does not ask children 13 or under for any information that can be used to identify the child|False
we do not knowingly collect personally identifiable information from children 13 or under|True
persons under the age of 18 and under are not permitted to contribute via the website|False
linking to other sites:|False
our site links to a limited number of other web sites|False
this site is not responsible for the content or the privacy policies of these web sites|False
we are not responsible for the actions of any service providers or other third parties, nor are we responsible for any additional information you provide directly to any third parties|False
we encourage you to become familiar with their privacy practices before disclosing information directly to any such parties or web sites|False
protecting your information|False
this website has security measures in place to protect against the loss, misuse or alteration of the information under our control|False
our server is located in a locked, secure environment|False
receiving campaign updates|False
we send e-mail subscribers periodic news updates about the campaign|False
if you do not wish to receive updates via e-mail or other communications from the campaign, you can remove your name from our mailing list at any time by unsubscribing from our e-mail list on this site|False
opting out and modifying information|False
if you need to change your e-mail address, you can unsubscribe from our mailing lists and sign up again using your new information|False
contacting us about privacy:|False
if you are concerned about how your information is used, you should check back at our web site periodically or contact us directly|False
we may choose to update this online privacy policy in the future|False
please check this page for any updates|False
this privacy policy explains how information about you is collected, used and disclosed by friends of alex askew|False
and any affiliates (friends of alex askew, we, or us)|False
this privacy policy applies to information we collect when you use the websites, mobile sites, and other online services that link to this privacy policy (collectively, the sites)|True
we may change this privacy policy from time to time|False
if we make changes, we will notify you by revising the date at the top of the policy and, in some cases, we may provide you with additional notice (such as adding a statement to our homepage or sending you an email notification)|False
we encourage you to review the privacy policy whenever you access the sites to stay informed about our information practices and the ways you can help protect your privacy|False
information we collect about you|False
we at friends of alex askew may obtain your personal information through three channels: (1) information you provide directly to us; (2) information we collect automatically when you use the sites; and (3) information we obtain from other sources|True
we collect information you provide directly to us|False
for example, we may collect information when you fill out a form, send us an email, use our services, purchase merchandise, sign up to receive updates, request information, enter contests or sweepstakes, submit survey responses, make a donation, share a story, submit content, communicate with us via third-party social media sites, or otherwise communicate with us (via the sites or otherwise)|True
the types of information we collect may include your name, contact information (e|True
, email, phone number, and address), payment information, and other contact or identifying information about yourself or others that you choose to provide or authorize to collect|True
you are responsible for providing a copy of this privacy policy to anyone whose contact or identifying information that you share with us|True
in addition, we may collect information as required by the virginia state board of elections (sbe)|True
for example, the sbe requires us to collect (and disclose) the name, mailing address, occupation, and employer of all individuals whose donations exceed $200 per calendar year|True
information we collect automatically when you use the sites|False
when you access or use our sites, we automatically collect information about you, including:|True
log information: we log information about your use of the sites, including the type of browser you use, access times, pages viewed, your ip address and the page you visited before navigating to our site|True
device information: we may collect information about the computer or mobile device you use to access our site, including the hardware model, operating system and version, device identifiers and mobile network information|True
we also collect information from your device that you authorize us to collect, such as your contacts for purposes of providing you functionality that allows you to share messages with your contacts|True
please consult your device settings for choices you may have to limit our access to this information|False
transactional information: if you make a donation or purchase, we may collect information about the transaction, such as donation amount, purchase price, product details, and date and location of the transaction|True
information collected by cookies and other tracking technologies: we use various technologies to collect information automatically|True
this may include placing on your computer or mobile device cookies that uniquely identify your browser or device|True
cookies are small data files used to store information on your device, including to help us to improve our sites and your experience, see which areas and features of our sites are popular and count visits|True
we may also collect information using other tracking technologies such as web beacons (also known as tracking pixels or clear gifs)|True
web beacons are electronic images that may be used in our sites or emails and help deliver cookies, count visits, understand usage and campaign efsbetiveness and determine whether an email has been opened and acted upon|True
for more information about cookies, and how to disable them, please see your choices below|False
information we collect from other sources|False
we may also obtain information from other sources and combine it with information that you provide and that we collect through our sites|True
for example, we may receive voter file data from state parties and other democratic organizations, from publicly available sources, and from private organizations|True
we may also receive information from a social media site if you connect to us or our sites through that site|True
how we use the information we collect|False
we may use your personal information for various purposes, including to:|False
provide, maintain and improve our sites and send you confirmations, receipts, technical notices, updates, security alerts, and support and administrative messages;|False
provide and deliver the information you request or various features or functionalities, process donations and transactions, and send you related information, including confirmations;|True
respond to your emails, submissions, comments, questions and requests, provide customer service, ask you to respond to a survey, request feedback, and otherwise contact you about your use of the sites;|False
send you newsletters and otherwise provide you with information or services you request or that we think will be of interest to you, such as sending you information to keep you informed about the campaign, various issues, events, activities, and volunteer opportunities (please see your choices below for information about how to opt out of certain communications at any time);|False
help connect you with other supporters, and solicit volunteers, donations and support for friends of alex askew and for other candidates, issues and organizations that we support;|True
contact you if we need additional information, such as if you leave fields blank on a form or if other information is necessary under federal election laws;|False
remind you to vote and register to vote and assist you in finding your registration information, polling location and campaign events near you;|False
monitor and analyze trends, usage and activities in connection with our sites;|False
personalize and improve the sites and provide advertisements, content or features that match user profiles or interests or that are based on the information you provide or the actions you take;|False
notify and contact contest or sweepstakes entrants;|False
detect, prevent, and respond to fraudulent transactions, abuse, security issues, and other illegal activities and protect the rights and property of friends of alex askew, users of our sites, and others, including by enforcing our terms & conditions; and|False
carry out any other purpose for which the information was collected|False
our information sharing|False
we may share information about you as follows or as otherwise described in this privacy policy:|False
with vendors, consultants and other service providers or volunteers who need access to such information to carry out work on our behalf;|True
with candidates, organizations, campaigns, groups or causes that we believe have similar political viewpoints, principles or objectives or share similar goals and with organizations that facilitate communications and information sharing among such groups;|True
subject to applicable contractual or legal restrictions, in connection with the sale or exchange of your information and related data to a broker or other non-profit or for-profit entity;|True
with other participants in a joint fundraising committee;|True
to report required information to the state board of elections including name, mailing address, occupation, and name of employers of individuals whose contributions exceed $100|True
01 in a calendar year (for additional information, visit the sbe website at http://www|False
elections|False
virginia|False
gov);|False
with current and future affiliates, a term that includes organizations, entities, and companies that control, are controlled by, or are under common control with, friends of alex askew;|True
when we believe in good faith that we are lawfully authorized or required to do so or that doing so is reasonably necessary or appropriate to comply with the law or legal processes or respond to lawful requests, claims or legal authorities, including responding to lawful subpoenas, warrants, or court orders, or lawful requests by public authorities to meet national security or law enforcement requirements;|True
when we believe in good faith that disclosure is necessary to protect or defend our rights, protect the safety and security of friends of alex askew, users of our sites or others, or to investigate suspected fraud, abuse, security issues, and other illegal activities;|True
if we believe your actions are inconsistent with the spirit or language of our user agreements or policies, or to protect the rights, property and safety of friends of alex askew, its employees, volunteers, constituents or others;|False
in connection with, or during negotiations of, any reorganization, formation of new committee or successor organization, asset sale or transfer, financing or lending transaction or in any other situation where personal information may be disclosed or transferred as one of the assets of friends of alex askew; and|False
with your consent or at your direction, including if: (1) we notify you through our sites that the information you provide will be shared in a particular manner and you provide such information; (2) you submit content or information on a public area of the site or information that is intended to be shared on the sites; or (3) you intentionally interact with third-parties on our sites|True
we may also share aggregated or anonymized information that does not directly identify you|True
links to third-party sites|True
the sites may make third-party information, advertisements, promotions and other content available on or through the sites (third-party content)|True
our sites also may link or otherwise provide access to third-party websites and other products and services outside our control (collectively, third-party products and services)|True
these third-party products and services may include, for example, event and volunteer registration and management, donation and payment functionality, and other features, functionalities, and services powered by third parties|True
these third-party products and services and third-party content are not under the control of friends of alex askew, and friends of alex askew is not responsible for the security or privacy of any personal information you share with them|True
if you use third-party products and services, those third parties collection, use and disclosure of your information will not be subject to this privacy policy; rather, it will be subject to their own privacy policies and terms|False
exercise caution and review the applicable privacy policies of any third-party product and service, including those you use in connection with the sites, before providing them with your personal information|False
social sharing features|False
the sites may offer social sharing features and other integrated tools (such as the facebook like button), which let you share actions you take on our sites with other media, and vice versa|False
the use of such features enables the sharing of information with your friends or the public, depending on the settings you establish with the entity that provides the social sharing feature|True
for more information about the purpose and scope of data collection and processing in connection with social sharing features, please visit the privacy policies of the entities that provide these features|False
advertising and analytics services provided by others|False
we and third parties that provide content or functionality on the sites or provide us analytics and advertising services may collect or receive information about your use of the sites and other websites or mobile applications, including through the use of cookies, web beacons, and similar technologies|True
this information may include, for example, your ip address, browser, device information, pages viewed, time spent on pages, links clicked and conversion information|True
this information may be combined with information collected across different websites, online services, and linked or associated devices to, among other things, analyze and track data, determine the popularity of certain content, deliver advertising and content targeted to your interests and better understand your online activity|True
for example, this information may be used to allow us to advertise on other websites you visit and other applications you use|False
for more information about internet-based ads, or to opt out of receiving targeted advertising from participating companies, please visit the industry opt-out pages operated by the daa, at http://www|False
aboutads|False
info and by the nai at http://networkadvertising|False
org|False
most web browsers are set to accept cookies by default|False
if you prefer, you can usually choose to set your browser to remove or reject browser cookies|False
removing or rejecting browser cookies does not necessarily afsbet third-party flash cookies that may be used in connection with our sites|False
to delete or disable flash cookies please visit www|False
adobe|False
com/products/flashplayer/security for more information|False
if you choose to refuse or delete cookies, you will need to repeat this process if you use another computer or browser|False
please note that if you choose to remove or reject cookies, this could afsbet the availability and functionality of our site|False
